ID_ENTIDAD,MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
10,036,CC_PAN_PRI,"OLIVIA MENDOZA SANCHEZ","ESLI YOSELIN MARTINEZ MARTINEZ"
10,036,C_PVEM_PT_MORENA,"JOSE RAMON SANCHEZ ABDALA","ALDO ANTONIO VIRREY FAVELA"
10,036,MC,"MA. DEL SOCORRO ONTIVEROS RIVERA",
10,037,CC_PAN_PRI,"ERIKA JANETT LOPEZ NAVA","BRENDA YADIRA CERVANTES URRUTIA"
10,037,C_PVEM_PT_MORENA,"JUDITH RODRIGUEZ OLIVARES","MIREYA RIVERA GAYTAN"
10,037,MC,"ALFREDO HERNANDEZ MARTINEZ","FERNANDO BARRIENTOS ROBLES"
10,037,PV,"XIOMARA YAMANIN HERNANDEZ DE LA TORRE","TEODORA SANCHEZ TORRES"
10,037,PER,"JUAN MANUEL LUNA FIGUEROA","JOSE LUIS TORRES VAQUERA"
10,038,CC_PAN_PRI,"ANA LAURA DIAZ CHAIDEZ","ALMA YDALIA DIAZ PEINADO"
10,038,C_PVEM_PT_MORENA,"MIRNA YUNELI ROBLES VIZCARRA","MARGARITA TORRES ANGULO"
10,038,MC,"PERLA GRACIELA OLIVAS ESTRADA",
10,038,PESD,"JULIA RAMOS RORIGUEZ","ALBA ALICIA MORENO RODRIGUEZ"
10,039,CC_PAN_PRI,"CESAR SALAS ORTIZ","MANUEL ANTONIO ESPARZA AYALA"
10,039,C_PVEM_PT_MORENA,"JUANA ACEVEDO IBARRA","LAURA ROSELA PASILLAS REYES"
10,039,MC,"MIGUEL JONATHAN RAMIREZ FUENTES","JOSE ROBERTO VALDEZ MATA"
